,ID,Salary,Designation,JobCity,Gender,10percentage,10board,12graduation,12percentage,12board,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,CollegeCityTier,CollegeState,GraduationYear,Domain,JobPeriod,DOByear,12GradAge,GradAge,Designation_Position,Personality Trait Score
0,203097,420000,Others,Bangalore,Female,84.3,State Board,2007,95.8,State Board,2,B.Tech/B.E.,CS,78.0,1141,0,Andhra Pradesh,2011,0.635978756456794,11,1990,17,21,Senior Quality Engineer,0.64456
1,579905,500000,Manager,Indore,Male,85.4,CBSE,2007,85.0,CBSE,2,B.Tech/B.E.,EC,70.06,5807,0,Madhya Pradesh,2012,0.960603251997053,10,1989,18,23,Assistant Manager,0.32822
2,810601,325000,Engineer,Chennai,Female,85.0,CBSE,2010,68.2,CBSE,2,B.Tech/B.E.,IT,70.0,64,0,Uttar Pradesh,2014,0.450876584483451,9,1992,18,22,System Engineer,0.3900600000000001
3,267447,1100000,Others,Gurgaon,Male,85.6,CBSE,2007,83.6,CBSE,1,B.Tech/B.E.,CS,74.64,6920,1,Delhi,2011,0.974396112538398,12,1989,18,22,Senior Software Engineer,-0.256
4,343523,200000,Engineer,Manesar,Male,78.0,CBSE,2008,76.8,CBSE,2,B.Tech/B.E.,EC,73.9,11368,0,Uttar Pradesh,2012,0.124502074009537,1,1991,17,21,Graduate Engineer Trainee,-0.45357399999999987
5,1027655,300000,Engineer,Hyderabad,Male,89.92,State Board,2010,87.0,State Board,2,B.Tech/B.E.,EC,76.32,5086,0,Karnataka,2014,0.622642915849938,9,1992,18,22,System Engineer,-0.9641
6,947847,300000,Engineer,Banglore,Male,86.08,State Board,2010,67.5,State Board,2,B.Tech/B.E.,CS,72.98,314,1,Karnataka,2014,0.356536487724475,1,1993,17,21,Java Software Engineer,-0.50632
7,912934,400000,Engineer,Bangalore,Male,92.0,CBSE,2010,91.0,CBSE,1,B.Tech/B.E.,ME,8.58,1757,0,Tamil Nadu,2016,0.829584599793067,1,1992,18,24,Mechanical Engineer,0.51978
8,552574,600000,Engineer,Noida,Male,90.0,CBSE,2009,91.2,CBSE,1,B.Tech/B.E.,EC,85.03,13,1,Delhi,2013,0.694479327708463,10,1991,18,22,Electrical Engineer,-0.24916
9,1203363,230000,Engineer,Kolkata,Male,77.0,CBSE,2010,72.2,CBSE,2,B.Tech/B.E.,EC,78.0,8640,1,West Bengal,2014,0.493596387301038,9,1993,17,21,Project Engineer,-0.13418000000000002
10,87291,600000,Senior,Bangalore,Male,88.6,State Board,2006,83.7,State Board,2,B.Tech/B.E.,CS,74.9,403,0,Madhya Pradesh,2010,0.765673581234011,4,1989,17,21,Senior Php Developer,0.23176000000000002
11,190393,450000,Others,Pune,Male,81.0,CBSE,2007,86.0,CBSE,1,B.Tech/B.E.,IT,72.29,4441,0,Madhya Pradesh,2011,0.968237495890543,3,1990,17,21,Senior Systems Engineer,-0.23667999999999995
12,606655,270000,Engineer,Pune,Male,83.6,State Board,2008,69.83,State Board,2,B.Tech/B.E.,EC,60.0,2665,0,Maharashtra,2013,0.229481754911755,10,1990,18,23,Quality Assurance Engineer,-0.043239999999999966
13,431800,200000,Analyst,Gurgaon,Male,60.8,CBSE,2008,62.4,CBSE,2,B.Tech/B.E.,EC,60.0,5232,0,Haryana,2012,0.538386892985096,9,1990,18,22,Quality Assurance Analyst,-0.34706000000000004
14,1279958,300000,Engineer,Bangalore,Male,81.2,State Board,2008,79.9,State Board,2,B.Tech/B.E.,I&C,67.67,64,0,Uttar Pradesh,2013,0.622642915849938,10,1992,16,21,Java Software Engineer,0.22034000000000004
15,536517,350000,Engineer,Bangalore,Female,69.54,ICSE,2008,64.43,State Board,2,B.Tech/B.E.,IT,63.0,4501,0,Uttar Pradesh,2012,0.308400582860308,10,1990,18,22,Network Engineer,1.0571799999999998
16,1087625,325000,Engineer,Noida,Male,85.8,CBSE,2010,74.8,CBSE,2,B.Tech/B.E.,EC,64.8,13473,0,Uttar Pradesh,2014,0.622642915849938,9,1992,18,22,Product Development Engineer,0.29629999999999995
17,874596,250000,Associate,Gurgaon,Male,60.8,CBSE,2006,66.66,CBSE,2,MCA,CS,74.74,41,1,Delhi,2013,0.911395278391328,1,1987,19,26,Associate Software Developer,-0.02630000000000001
18,711342,120000,Others,Gurgaon,Male,65.0,State Board,2008,64.8,ICSE,2,B.Tech/B.E.,CS,69.54,184,0,Uttar Pradesh,2013,0.563267823666597,0,1992,16,21,Data Entry Operator,0.56348
19,466888,325000,Engineer,Pune,Female,79.0,CBSE,2008,62.2,CBSE,2,B.Tech/B.E.,CS,76.3,7977,0,Uttar Pradesh,2012,0.864685413370085,9,1990,18,22,Software Engineer,0.05546000000000002
20,140069,320000,Engineer,Bangalore,Female,91.2,State Board,2006,84.63,University,2,B.Tech/B.E.,CS,78.15,4437,0,Karnataka,2010,0.635978756456794,2,1988,18,22,Software Engineer,0.28834000000000004
21,339689,200000,Engineer,Bangalore,Female,75.67,State Board,2007,74.4,State Board,2,B.Tech/B.E.,IT,74.01,11368,0,Uttar Pradesh,2012,0.635978756456794,1,1991,16,21,Software Engineer,-0.8556740000000002
22,995191,190000,Developer,Hyderabad,Male,92.5,State Board,2009,95.2,State Board,2,B.Tech/B.E.,EC,76.0,8232,0,Telangana,2013,0.622642915849938,2,1992,17,21,Developer,-0.73366
23,990077,180000,Engineer,Bangalore,Male,70.0,State Board,2006,43.42,State Board,2,B.Tech/B.E.,EC,55.52,11388,1,Karnataka,2014,0.649389714846691,1,1986,20,28,Electrical Project Engineer,-2.0808799999999996
24,963123,335000,Analyst,Hyderabad,Male,88.0,State Board,2010,90.0,State Board,2,B.Tech/B.E.,CS,76.0,9173,1,Telangana,2014,0.356536487724475,1,1993,17,21,Programmer Analyst,-0.062060000000000025
25,350211,435000,Analyst,Gurgaon,Female,86.8,CBSE,2008,82.8,CBSE,2,B.Tech/B.E.,CS,78.0,9019,0,Haryana,2012,0.744758354008939,11,1991,17,21,Systems Analyst,0.11390000000000003
26,65096,345000,Others,Bangalore,Male,90.88,State Board,2006,82.5,University,2,B.Tech/B.E.,CS,66.15,124,0,Orissa,2010,0.884122511593735,2,1988,18,22,Senior Software Engineer,0.43436
27,810458,300000,Engineer,Bangalore,Male,76.8,State Board,2009,83.0,State Board,2,B.Tech/B.E.,EC,76.44,64,0,Uttar Pradesh,2014,0.881620069530177,1,1993,16,21,Associate Software Engineer,0.44855999999999996
28,918981,145000,Engineer,Noida,Male,84.0,CBSE,2011,68.0,CBSE,2,B.Tech/B.E.,EC,72.0,76,0,Uttar Pradesh,2015,0.207392169717661,0,1994,17,21,Telecommunication Engineer,0.35558
29,472956,220000,Engineer,Gurgaon,Male,64.0,CBSE,2010,74.0,CBSE,2,B.Tech/B.E.,IT,68.0,57,0,Haryana,2014,0.486747008438193,0,1992,18,22,Java Software Engineer,-1.1365399999999999
30,192703,530000,Engineer,Hyderabad,Male,84.0,State Board,2007,92.0,State Board,2,B.Tech/B.E.,CS,77.2,5003,0,Andhra Pradesh,2011,0.670743151433127,12,1989,18,22,System Engineer,-0.39278
31,1094324,340000,Engineer,Bangalore,Male,77.2,State Board,2010,86.1,State Board,2,B.Tech/B.E.,CS,71.0,7282,0,Tamil Nadu,2014,0.622642915849938,1,1992,18,22,Software Engineer,0.21374000000000004
32,580616,360000,Developer,Noida,Female,87.0,CBSE,2009,84.4,CBSE,1,B.Tech/B.E.,CS,79.3,8195,1,Delhi,2013,0.413838255788123,10,1991,18,22,Application Developer,-0.31410000000000005
33,1208010,145000,Developer,Kolkata,Male,73.0,State Board,2010,68.4,State Board,2,B.Tech/B.E.,IT,74.3,8297,1,West Bengal,2014,0.911395278391328,9,1992,18,22,Ios Developer,-0.024540000000000006
34,1073190,215000,Executive,Bangalore,Female,71.0,CBSE,2009,68.0,ICSE,2,B.Tech/B.E.,CS,70.86,7869,0,Uttar Pradesh,2013,0.356536487724475,8,1989,20,24,Executive Assistant,0.4199400000000001
35,942679,350000,Manager,mohali,Female,85.0,CBSE,2008,61.0,CBSE,2,B.Tech/B.E.,EC,64.98,272,0,Punjab,2011,0.622642915849938,9,1990,18,21,Online Marketing Manager,0.43872
